pack,mode,tag
domain_positive,objects,product-style object clarity
domain_positive,objects,strong product-style object clarity
domain_positive,objects,more product-style object clarity
domain_positive,objects,product-style object clarity discipline
domain_positive,objects,distinct object edges
domain_positive,objects,strong distinct object edges
domain_positive,objects,more distinct object edges
domain_positive,objects,distinct object edges discipline
domain_positive,objects,material realism
domain_positive,objects,strong material realism
domain_positive,objects,more material realism
domain_positive,objects,material realism discipline
domain_positive,vehicles,accurate vehicle geometry
domain_positive,vehicles,strong accurate vehicle geometry
domain_positive,vehicles,more accurate vehicle geometry
domain_positive,vehicles,accurate vehicle geometry discipline
domain_positive,vehicles,coherent wheel/body alignment
domain_positive,vehicles,strong coherent wheel/body alignment
domain_positive,vehicles,more coherent wheel/body alignment
domain_positive,vehicles,coherent wheel/body alignment discipline
domain_positive,vehicles,automotive detail
domain_positive,vehicles,strong automotive detail
domain_positive,vehicles,more automotive detail
domain_positive,vehicles,automotive detail discipline
domain_positive,buildings,architectural perspective
domain_positive,buildings,strong architectural perspective
domain_positive,buildings,more architectural perspective
domain_positive,buildings,perspective consistency
domain_positive,buildings,architectural perspective discipline
domain_positive,buildings,straight structural lines
domain_positive,buildings,strong straight structural lines
domain_positive,buildings,more straight structural lines
domain_positive,buildings,straight structural lines discipline
domain_positive,buildings,facade detail
domain_positive,buildings,strong facade detail
domain_positive,buildings,more facade detail
domain_positive,buildings,facade detail discipline
domain_positive,architecture,architectural composition
domain_positive,architecture,strong architectural composition
domain_positive,architecture,more architectural composition
domain_positive,architecture,architectural composition discipline
domain_positive,architecture,building scale coherence
domain_positive,architecture,strong building scale coherence
domain_positive,architecture,more building scale coherence
domain_positive,architecture,building scale coherence discipline
domain_positive,architecture,clean geometry
domain_positive,architecture,strong clean geometry
domain_positive,architecture,more clean geometry
domain_positive,architecture,clean geometry discipline
domain_positive,mixed,multi-object scene coherence
domain_positive,mixed,strong multi-object scene coherence
domain_positive,mixed,more multi-object scene coherence
domain_positive,mixed,multi-object scene coherence discipline
domain_positive,mixed,clear object hierarchy
domain_positive,mixed,strong object hierarchy
domain_positive,mixed,more clear object hierarchy
domain_positive,mixed,clear object hierarchy and readability
domain_positive,mixed,clear object hierarchy discipline
domain_positive,mixed,consistent perspective
domain_positive,mixed,strong consistent perspective
domain_positive,mixed,more consistent perspective
domain_positive,mixed,perspective consistency
domain_positive,mixed,consistent perspective discipline
domain_positive,mixed,object list from prompt intact
domain_positive,mixed,strong object list from prompt intact
domain_positive,mixed,more object list from prompt intact
domain_positive,mixed,object list from prompt intact discipline
domain_negative,objects,melted object
domain_negative,objects,strong melted object
domain_negative,objects,more melted object
domain_negative,objects,melted object discipline
domain_negative,objects,fused object
domain_negative,objects,strong fused object
domain_negative,objects,more fused object
domain_negative,objects,fused object discipline
domain_negative,objects,undefined object shape
domain_negative,objects,strong undefined object shape
domain_negative,objects,more undefined object shape
domain_negative,objects,undefined object shape discipline
domain_negative,vehicles,deformed wheels
domain_negative,vehicles,strong deformed wheels
domain_negative,vehicles,more deformed wheels
domain_negative,vehicles,deformed wheels discipline
domain_negative,vehicles,vehicle body distortion
domain_negative,vehicles,strong vehicle body distortion
domain_negative,vehicles,more vehicle body distortion
domain_negative,vehicles,vehicle body distortion discipline
domain_negative,vehicles,floating car parts
domain_negative,vehicles,strong floating car parts
domain_negative,vehicles,more floating car parts
domain_negative,vehicles,floating car parts discipline
domain_negative,buildings,bent building lines
domain_negative,buildings,strong bent building lines
domain_negative,buildings,more bent building lines
domain_negative,buildings,bent building lines discipline
domain_negative,buildings,impossible architecture
domain_negative,buildings,strong impossible architecture
domain_negative,buildings,more impossible architecture
domain_negative,buildings,impossible architecture discipline
domain_negative,buildings,warped windows
domain_negative,buildings,strong warped windows
domain_negative,buildings,more warped windows
domain_negative,buildings,warped windows discipline
domain_negative,architecture,distorted perspective
domain_negative,architecture,strong distorted perspective
domain_negative,architecture,more distorted perspective
domain_negative,architecture,perspective consistency
domain_negative,architecture,distorted perspective discipline
domain_negative,architecture,collapsed geometry
domain_negative,architecture,strong collapsed geometry
domain_negative,architecture,more collapsed geometry
domain_negative,architecture,collapsed geometry discipline
domain_negative,architecture,warped straight lines
domain_negative,architecture,strong warped straight lines
domain_negative,architecture,more warped straight lines
domain_negative,architecture,warped straight lines discipline
domain_negative,mixed,object merging
domain_negative,mixed,strong object merging
domain_negative,mixed,more object merging
domain_negative,mixed,object merging discipline
domain_negative,mixed,foreground-background confusion
domain_negative,mixed,strong foreground-background confusion
domain_negative,mixed,more foreground-background confusion
domain_negative,mixed,foreground-background confusion discipline
domain_negative,mixed,scale mismatch
domain_negative,mixed,strong scale mismatch
domain_negative,mixed,more scale mismatch
domain_negative,mixed,scale mismatch discipline
domain_negative,mixed,substituted product or vehicle
domain_negative,mixed,strong substituted product or vehicle
domain_negative,mixed,more substituted product or vehicle
domain_negative,mixed,substituted product or vehicle discipline
background_positive,studio,studio backdrop
background_positive,studio,controlled lighting
background_positive,studio,clean background separation
background_positive,indoor,coherent indoor environment
background_positive,indoor,interior depth cues
background_positive,indoor,room geometry consistency
background_positive,outdoor,coherent outdoor environment
background_positive,outdoor,natural atmospheric depth
background_positive,outdoor,ground-plane consistency
background_positive,urban,urban environment detail
background_positive,urban,architectural perspective
background_positive,urban,street-scale coherence
background_positive,urban,architecture matches named city cues
background_positive,nature,natural landscape depth
background_positive,nature,organic environment detail
background_positive,nature,foliage separation
background_positive,nature,flora as described
