pack,mode,tag
nsfw_positive,_,nsfw
nsfw_positive,_,strong nsfw
nsfw_positive,_,nsfw discipline
nsfw_positive,_,adult content
nsfw_positive,_,strong adult content
nsfw_positive,_,more adult content
nsfw_positive,_,adult content discipline
nsfw_positive,_,anatomically coherent
nsfw_positive,_,strong anatomically coherent
nsfw_positive,_,more anatomically coherent
nsfw_positive,_,anatomically coherent discipline
nsfw_positive,_,clear body structure
nsfw_positive,_,strong body structure
nsfw_positive,_,more clear body structure
nsfw_positive,_,clear body structure discipline
nsfw_positive,_,detailed anatomy
nsfw_positive,_,strong detailed anatomy
nsfw_positive,_,more detailed anatomy
nsfw_positive,_,detailed anatomy discipline
nsfw_positive,_,natural proportions
nsfw_positive,_,strong natural proportions
nsfw_positive,_,more natural proportions
nsfw_positive,_,natural proportions discipline
nsfw_positive,_,explicit detail
nsfw_positive,_,strong explicit detail
nsfw_positive,_,more explicit detail
nsfw_positive,_,explicit detail discipline
nsfw_positive,_,uncensored
nsfw_positive,_,strong uncensored
nsfw_positive,_,uncensored discipline
nsfw_positive,_,single clear subject
nsfw_positive,_,strong single clear subject
nsfw_positive,_,more single clear subject
nsfw_positive,_,single clear subject discipline
nsfw_positive,_,coherent pose
nsfw_positive,_,strong coherent pose
nsfw_positive,_,more coherent pose
nsfw_positive,_,coherent pose discipline
nsfw_positive,_,readable silhouettes
nsfw_positive,_,strong readable silhouettes
nsfw_positive,_,more readable silhouettes
nsfw_positive,_,readable silhouettes discipline
nsfw_positive,_,grounded lighting on body
nsfw_positive,_,strong grounded lighting on body
nsfw_positive,_,more grounded lighting on body
nsfw_positive,_,grounded lighting on body discipline
nsfw_positive,_,eye contact clarity
nsfw_positive,_,strong eye contact clarity
nsfw_positive,_,more eye contact clarity
nsfw_positive,_,eye contact clarity discipline
nsfw_positive,_,natural skin texture
nsfw_positive,_,strong natural skin texture
nsfw_positive,_,more natural skin texture
nsfw_positive,_,natural skin texture discipline
nsfw_positive,_,complete figure in frame
nsfw_positive,_,strong complete figure in frame
nsfw_positive,_,more complete figure in frame
nsfw_positive,_,complete figure in frame discipline
nsfw_positive,_,__REF__:best_model_tags
nsfw_positive,_,strong __REF__:best_model_tags
nsfw_positive,_,anatomy matches the pose description
nsfw_positive,_,strong anatomy matches the pose description
nsfw_positive,_,more anatomy matches the pose description
nsfw_positive,_,anatomy matches the pose description discipline
nsfw_positive,_,interaction matches the prompt
nsfw_positive,_,strong interaction matches the prompt
nsfw_positive,_,more interaction matches the prompt
nsfw_positive,_,interaction matches the prompt discipline
nsfw_positive,_,no extra partners unless specified
