pack,mode,tag
artist_composition_positive,lite,rule of thirds composition
artist_composition_positive,lite,strong rule of thirds composition
artist_composition_positive,lite,more rule of thirds composition
artist_composition_positive,lite,rule of thirds composition discipline
artist_composition_positive,lite,clear focal point
artist_composition_positive,lite,strong focal point
artist_composition_positive,lite,more clear focal point
artist_composition_positive,lite,clear focal point discipline
artist_composition_positive,lite,intentional visual hierarchy
artist_composition_positive,lite,more intentional visual hierarchy
artist_composition_positive,lite,intentional visual hierarchy and readability
artist_composition_positive,lite,intentional visual hierarchy discipline
artist_composition_positive,lite,balanced negative space
artist_composition_positive,lite,strong balanced negative space
artist_composition_positive,lite,more balanced negative space
artist_composition_positive,lite,balance and stabilityd negative space
artist_composition_positive,lite,balanced negative space discipline
artist_composition_positive,lite,readable silhouette separation
artist_composition_positive,lite,strong readable silhouette separation
artist_composition_positive,lite,more readable silhouette separation
artist_composition_positive,lite,readable silhouette separation discipline
artist_composition_positive,lite,triangular grouping of subjects
artist_composition_positive,lite,strong triangular grouping of subjects
artist_composition_positive,lite,more triangular grouping of subjects
artist_composition_positive,lite,triangular grouping of subjects discipline
artist_composition_positive,lite,gestalt closure friendly shapes
artist_composition_positive,lite,gestalt closure shapes
artist_composition_positive,lite,strong gestalt closure friendly shapes
artist_composition_positive,lite,more gestalt closure friendly shapes
artist_composition_positive,lite,gestalt closure friendly shapes discipline
artist_composition_positive,lite,clear eye entry path
artist_composition_positive,lite,strong eye entry path
artist_composition_positive,lite,more clear eye entry path
artist_composition_positive,lite,clear eye entry path discipline
artist_composition_positive,lite,clear value read at thumbnail
artist_composition_positive,lite,strong value read at thumbnail
artist_composition_positive,lite,more clear value read at thumbnail
artist_composition_positive,lite,clear value read at thumbnail discipline
artist_composition_positive,lite,big medium small shape design
artist_composition_positive,lite,strong big medium small shape design
artist_composition_positive,lite,more big medium small shape design
artist_composition_positive,lite,big medium small shape design discipline
artist_composition_positive,lite,rule of odds grouping
artist_composition_positive,lite,strong rule of odds grouping
artist_composition_positive,lite,more rule of odds grouping
artist_composition_positive,lite,rule of odds grouping discipline
artist_composition_positive,lite,dominant shape language
artist_composition_positive,lite,strong dominant shape language
artist_composition_positive,lite,more dominant shape language
artist_composition_positive,lite,dominant shape language discipline
artist_composition_positive,standard,rule of thirds composition
artist_composition_positive,standard,strong rule of thirds composition
artist_composition_positive,standard,more rule of thirds composition
artist_composition_positive,standard,rule of thirds composition discipline
artist_composition_positive,standard,clear focal point
artist_composition_positive,standard,strong focal point
artist_composition_positive,standard,more clear focal point
artist_composition_positive,standard,clear focal point discipline
artist_composition_positive,standard,intentional visual hierarchy
artist_composition_positive,standard,more intentional visual hierarchy
artist_composition_positive,standard,intentional visual hierarchy and readability
artist_composition_positive,standard,intentional visual hierarchy discipline
artist_composition_positive,standard,balanced negative space
artist_composition_positive,standard,strong balanced negative space
artist_composition_positive,standard,more balanced negative space
artist_composition_positive,standard,balance and stabilityd negative space
artist_composition_positive,standard,balanced negative space discipline
artist_composition_positive,standard,readable silhouette separation
artist_composition_positive,standard,strong readable silhouette separation
artist_composition_positive,standard,more readable silhouette separation
artist_composition_positive,standard,readable silhouette separation discipline
artist_composition_positive,standard,golden ratio friendly framing
artist_composition_positive,standard,golden ratio framing
artist_composition_positive,standard,strong golden ratio friendly framing
artist_composition_positive,standard,more golden ratio friendly framing
artist_composition_positive,standard,golden ratio friendly framing discipline
artist_composition_positive,standard,leading lines guiding the eye
artist_composition_positive,standard,strong leading lines guiding the eye
artist_composition_positive,standard,more leading lines guiding the eye
artist_composition_positive,standard,leading lines guiding the eye discipline
artist_composition_positive,standard,foreground midground background layers
artist_composition_positive,standard,strong foreground midground background layers
artist_composition_positive,standard,more foreground midground background layers
artist_composition_positive,standard,foreground midground background layers discipline
artist_composition_positive,standard,dynamic asymmetrical balance
artist_composition_positive,standard,strong dynamic asymmetrical balance
artist_composition_positive,standard,more dynamic asymmetrical balance
artist_composition_positive,standard,dynamic asymmetrical balance and stability
artist_composition_positive,standard,dynamic asymmetrical balance discipline
artist_composition_positive,standard,rhythm in shapes and value masses
artist_composition_positive,standard,strong rhythm in shapes and value masses
artist_composition_positive,standard,more rhythm in shapes and value masses
artist_composition_positive,standard,rhythm in shapes and value masses discipline
artist_composition_positive,standard,cohesive color harmony in the layout
artist_composition_positive,standard,strong cohesive color harmony in the layout
artist_composition_positive,standard,more cohesive color harmony in the layout
artist_composition_positive,standard,cohesive color harmony in the layout discipline
artist_composition_positive,standard,golden spiral friendly focal placement
artist_composition_positive,standard,golden spiral focal placement
artist_composition_positive,standard,strong golden spiral friendly focal placement
artist_composition_positive,standard,more golden spiral friendly focal placement
artist_composition_positive,standard,golden spiral friendly focal placement discipline
artist_composition_positive,standard,repetition with variation in motifs
artist_composition_positive,standard,strong repetition with variation in motifs
artist_composition_positive,standard,more repetition with variation in motifs
artist_composition_positive,standard,repetition with variation in motifs discipline
artist_composition_positive,standard,enclosure and framing hierarchy
artist_composition_positive,standard,strong enclosure and framing hierarchy
artist_composition_positive,standard,more enclosure and framing hierarchy
artist_composition_positive,standard,enclosure and framing hierarchy and readability
artist_composition_positive,standard,enclosure and framing hierarchy discipline
artist_composition_positive,standard,diagonal thrust with visual counterbalance
artist_composition_positive,standard,strong diagonal thrust with visual counterbalance
artist_composition_positive,standard,more diagonal thrust with visual counterbalance
artist_composition_positive,standard,diagonal thrust with visual counterbalance and stability
artist_composition_positive,standard,diagonal thrust with visual counterbalance discipline
artist_composition_positive,standard,subframing supports primary subject
artist_composition_positive,standard,strong subframing supports primary subject
artist_composition_positive,standard,more subframing supports primary subject
artist_composition_positive,standard,subframing supports primary subject discipline
artist_composition_positive,standard,picture plane clarity
artist_composition_positive,standard,strong picture plane clarity
artist_composition_positive,standard,more picture plane clarity
artist_composition_positive,standard,picture plane clarity discipline
artist_composition_positive,standard,unity with variety in the layout
artist_composition_positive,standard,strong unity with variety in the layout
artist_composition_positive,standard,more unity with variety in the layout
artist_composition_positive,standard,unity with variety in the layout discipline
artist_composition_positive,standard,dominant subdominant subordinate
artist_composition_positive,standard,strong dominant subdominant subordinate
artist_composition_positive,standard,more dominant subdominant subordinate
artist_composition_positive,standard,visual weight balance across frame
artist_composition_positive,standard,controlled saturation hierarchy
artist_composition_positive,standard,warm cool color temperature contrast
artist_composition_positive,standard,shape value color unity
artist_composition_positive,standard,simplified background value masses
artist_composition_positive,standard,clear secondary focal support
artist_composition_positive,standard,intentional cropping and cutoff
artist_composition_positive,standard,rhythm of light accents
artist_composition_positive,standard,rest area for the eye
artist_composition_positive,perspective,consistent linear perspective
artist_composition_positive,perspective,clear horizon line
artist_composition_positive,perspective,stable vanishing point
artist_composition_positive,perspective,orthogonal architectural perspective
artist_composition_positive,perspective,scale diminution with distance
artist_composition_positive,perspective,atmospheric perspective depth
artist_composition_positive,perspective,eye level relationship to ground plane
artist_composition_positive,perspective,natural foreshortening
artist_composition_positive,perspective,one point perspective cues
artist_composition_positive,perspective,two point perspective cues
artist_composition_positive,perspective,three point perspective cues
artist_composition_positive,perspective,overlapping forms show depth order
artist_composition_positive,perspective,unified shadow direction for light logic
artist_composition_positive,perspective,curvilinear perspective consistency
artist_composition_positive,perspective,convincing ground plane contact
artist_composition_positive,perspective,object overlap obeys spatial depth
artist_composition_positive,perspective,consistent scale landmarks
artist_composition_positive,perspective,verticals converge consistently
artist_composition_positive,perspective,level camera avoids unintended tilt
artist_composition_positive,perspective,depth cues via size overlap and contrast
artist_composition_positive,perspective,horizon line matches viewpoint intent
artist_composition_positive,classical,academic composition discipline
artist_composition_positive,classical,S-curve rhythm in forms
artist_composition_positive,classical,dynamic symmetry
artist_composition_positive,classical,chiaroscuro friendly value grouping
artist_composition_positive,classical,notan readable lights and darks
artist_composition_positive,classical,arabesque flow between masses
artist_composition_positive,classical,figure ground clarity
artist_composition_positive,classical,lost and found edge rhythm
artist_composition_positive,classical,pyramidal mass composition
artist_composition_positive,classical,repoussoir framing depth
artist_composition_positive,classical,classical economy of shapes
artist_composition_positive,classical,bilateral symmetry used with intent
artist_composition_positive,classical,classical balance of light and dark masses
artist_composition_positive,classical,armature of the rectangle
artist_composition_positive,classical,classical line of action
artist_composition_positive,classical,massing before detail
artist_composition_positive,classical,economy of detail at focal point
artist_composition_positive,classical,edge hierarchy supports focal point
artist_composition_positive,classical,simplify into two or three value groups
artist_composition_positive,classical,silhouette design reads clearly
artist_composition_positive,full,rule of thirds composition
artist_composition_positive,full,clear focal point
artist_composition_positive,full,intentional visual hierarchy
artist_composition_positive,full,balanced negative space
artist_composition_positive,full,readable silhouette separation
artist_composition_positive,full,triangular grouping of subjects
artist_composition_positive,full,gestalt closure friendly shapes
artist_composition_positive,full,clear eye entry path
