pack,mode,tag
best_model_tags,_,score_9
best_model_tags,_,score_8_up
best_model_tags,_,score_7_up
best_model_tags,_,masterpiece
best_model_tags,_,best quality
best_model_tags,_,amazing quality
best_model_tags,_,newest
best_model_tags,_,absurdres
best_model_tags,_,highres
best_model_tags,_,extremely detailed
best_model_tags,_,ultra detailed
best_model_tags,_,detailed eyes
best_model_tags,_,detailed face
best_model_tags,_,detailed hair
best_model_tags,_,detailed skin
best_model_tags,_,detailed hands
best_model_tags,_,detailed background
best_model_tags,_,fine details
best_model_tags,_,intricate details
best_model_tags,_,sharp focus
best_model_tags,_,volumetric lighting
best_model_tags,_,cinematic lighting
best_model_tags,_,professional lighting
best_model_tags,_,rim lighting
best_model_tags,_,soft shadows
best_model_tags,_,depth of field
best_model_tags,_,dynamic composition
best_model_tags,_,rule of thirds
best_model_tags,_,rich colors
best_model_tags,_,vivid colors
best_model_tags,_,high contrast
best_model_tags,_,film grain subtle
best_model_tags,_,chromatic aberration subtle
one_shot_positive,_,single subject focus
one_shot_positive,_,clear hero subject
one_shot_positive,_,coherent scene
one_shot_positive,_,consistent lighting direction
one_shot_positive,_,correct perspective
one_shot_positive,_,sharp subject
one_shot_positive,_,well framed
one_shot_positive,_,complete anatomy in frame
one_shot_positive,_,natural colors
one_shot_positive,_,high clarity
one_shot_positive,_,subject isolation
one_shot_positive,_,clean silhouette
one_shot_positive,_,obvious focal point
one_shot_negative,_,duplicate subject
one_shot_negative,_,cloned face
one_shot_negative,_,double head
one_shot_negative,_,extra arms
one_shot_negative,_,extra legs
one_shot_negative,_,missing limbs
one_shot_negative,_,bad hands
one_shot_negative,_,mutated hands
one_shot_negative,_,too many fingers
one_shot_negative,_,fused fingers
one_shot_negative,_,blurry
one_shot_negative,_,out of focus subject
one_shot_negative,_,muddy details
one_shot_negative,_,jpeg artifacts
one_shot_negative,_,worst quality
one_shot_negative,_,low quality
one_shot_negative,_,watermark
one_shot_negative,_,cropped
one_shot_negative,_,bad anatomy
one_shot_negative,_,deformed
one_shot_negative,_,disconnected limbs
one_shot_negative,_,incoherent background
one_shot_negative,_,inconsistent lighting
one_shot_negative,_,visual clutter
quality_pack_positive,ultra_clean,ultra clean render
quality_pack_positive,ultra_clean,high micro-contrast
quality_pack_positive,ultra_clean,fine detail retention
quality_pack_positive,ultra_clean,artifact-free finish
quality_pack_positive,cinematic,cinematic grade
quality_pack_positive,cinematic,filmic contrast
quality_pack_positive,cinematic,controlled highlight rolloff
quality_pack_positive,cinematic,depth-rich image
quality_pack_positive,illustrative,clean stylized rendering
quality_pack_positive,illustrative,shape readability
quality_pack_positive,illustrative,crisp silhouette language
quality_pack_positive,editorial,editorial photography look
quality_pack_positive,editorial,controlled dynamic range
quality_pack_positive,editorial,material fidelity
quality_pack_positive,micro_detail,high frequency detail
quality_pack_positive,micro_detail,texture fidelity
quality_pack_positive,micro_detail,material read
quality_pack_positive,micro_detail,clean micro-contrast
quality_pack_positive,micro_detail,sharp fine structure
quality_pack_negative_top,_,worst quality
quality_pack_negative_top,_,low quality
quality_pack_negative_top,_,jpeg artifacts
quality_pack_negative_top,_,blurry
quality_pack_negative_top,_,noise
quality_pack_negative_top,_,bad proportions
quality_pack_negative_top,_,watermark
quality_pack_negative_top,_,text overlay
quality_pack_negative_top,_,logo
quality_pack_negative_top,_,username
quality_pack_negative_top,_,signature
quality_pack_negative_top,_,bad hands
quality_pack_negative_top,_,extra digits
quality_pack_negative_top,_,mutated hands
quality_pack_negative_one_shot,_,duplicate subject
quality_pack_negative_one_shot,_,cloned face
quality_pack_negative_one_shot,_,double head
quality_pack_negative_one_shot,_,extra arms
quality_pack_negative_one_shot,_,extra legs
quality_pack_negative_one_shot,_,missing limbs
quality_pack_negative_one_shot,_,bad hands
quality_pack_negative_one_shot,_,mutated hands
quality_pack_negative_one_shot,_,too many fingers
quality_pack_negative_one_shot,_,fused fingers
quality_pack_negative_one_shot,_,blurry
quality_pack_negative_one_shot,_,out of focus subject
quality_pack_negative_one_shot,_,muddy details
quality_pack_negative_one_shot,_,jpeg artifacts
quality_pack_negative_one_shot,_,worst quality
quality_pack_negative_one_shot,_,low quality
quality_pack_negative_one_shot,_,watermark
quality_pack_negative_one_shot,_,cropped
quality_pack_negative_one_shot,_,bad anatomy
quality_pack_negative_one_shot,_,deformed
quality_pack_negative_one_shot,_,disconnected limbs
quality_pack_negative_one_shot,_,incoherent background
quality_pack_negative_one_shot,_,inconsistent lighting
quality_pack_negative_one_shot,_,visual clutter
quality_pack_negative_one_shot,_,bad proportions
quality_pack_negative_one_shot,_,noise
quality_pack_negative_one_shot,_,text overlay
quality_pack_negative_one_shot,_,logo
