pack,mode,tag
style_positive,3d,3d render
style_positive,3d,strong 3d render
style_positive,3d,more 3d render
style_positive,3d,3d render discipline
style_positive,3d,cg render
style_positive,3d,strong cg render
style_positive,3d,more cg render
style_positive,3d,cg render discipline
style_positive,3d,solid geometry
style_positive,3d,strong solid geometry
style_positive,3d,more solid geometry
style_positive,3d,solid geometry discipline
style_positive,3d,consistent material shading
style_positive,3d,strong consistent material shading
style_positive,3d,more consistent material shading
style_positive,3d,consistent material shading discipline
style_positive,3d,octane-style lighting
style_positive,3d,strong octane-style lighting
style_positive,3d,more octane-style lighting
style_positive,3d,octane-style lighting discipline
style_positive,photoreal,photorealistic
style_positive,photoreal,strong photorealistic
style_positive,photoreal,photorealistic discipline
style_positive,photoreal,real-world textures
style_positive,photoreal,strong real-world textures
style_positive,photoreal,more real-world textures
style_positive,photoreal,real-world textures discipline
style_positive,photoreal,natural skin/material detail
style_positive,photoreal,strong natural skin/material detail
style_positive,photoreal,more natural skin/material detail
style_positive,photoreal,natural skin/material detail discipline
style_positive,photoreal,camera-realistic lighting
style_positive,photoreal,strong camera-realistic lighting
style_positive,photoreal,more camera-realistic lighting
style_positive,photoreal,camera-realistic lighting discipline
style_positive,photoreal,lens-consistent perspective
style_positive,photoreal,strong lens-consistent perspective
style_positive,photoreal,more lens-consistent perspective
style_positive,photoreal,perspective consistency
style_positive,photoreal,lens-consistent perspective discipline
style_positive,photoreal,literal texture scale from brief
style_positive,photoreal,strong literal texture scale from brief
style_positive,photoreal,more literal texture scale from brief
style_positive,photoreal,literal texture scale from brief discipline
style_positive,semi_real,semi-realistic
style_positive,semi_real,strong semi-realistic
style_positive,semi_real,semi-realistic discipline
style_positive,semi_real,stylized realism
style_positive,semi_real,strong stylized realism
style_positive,semi_real,more stylized realism
style_positive,semi_real,stylized realism discipline
style_positive,semi_real,balanced stylization and realism
style_positive,semi_real,strong balanced stylization and realism
style_positive,semi_real,more balanced stylization and realism
style_positive,semi_real,balance and stabilityd stylization and realism
style_positive,semi_real,balanced stylization and realism discipline
style_positive,anime,anime style
style_positive,anime,strong anime style
style_positive,anime,more anime style
style_positive,anime,anime style discipline
style_positive,anime,clean linework
style_positive,anime,strong clean linework
style_positive,anime,more clean linework
style_positive,anime,clean linework discipline
style_positive,anime,coherent cel-shading
style_positive,anime,strong coherent cel-shading
style_positive,anime,more coherent cel-shading
style_positive,anime,coherent cel-shading discipline
style_positive,painterly,painterly style
style_positive,painterly,strong painterly style
style_positive,painterly,more painterly style
style_positive,painterly,painterly style discipline
style_positive,painterly,brushwork detail
style_positive,painterly,strong brushwork detail
style_positive,painterly,more brushwork detail
style_positive,painterly,brushwork detail discipline
style_positive,painterly,coherent painted textures
style_positive,painterly,strong coherent painted textures
style_positive,painterly,more coherent painted textures
